id    ,title                                                                                                                 ,title_en                                                                                 ,title_jp                                                                       ,source       ,members ,score  ,format ,episodes ,starting_at               ,airing_day ,studio                               ,official_site                                             ,twitter_username
49458 ,Kono Subarashii Sekai ni Shukufuku wo! 3                                                                              ,KonoSuba: God's Blessing on This Wonderful World! 3                                      ,この素晴らしい世界に祝福を！3                                                  ,Light novel  , 239410 ,239410 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Drive                                ,http://konosuba.com/                                      ,konosubaanime
55701 ,Kimetsu no Yaiba: Hashira Geiko-hen                                                                                   ,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc                                      ,鬼滅の刃 柱稽古編                                                              ,Manga        , 184646 ,184646 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,ufotable                             ,https://kimetsu.com/anime/hashirageikohen/                ,kimetsu_off
53580 ,Tensei shitara Slime Datta Ken 3rd Season                                                                             ,That Time I Got Reincarnated as a Slime Season 3                                         ,転生したらスライムだった件                                                     ,Manga        , 166907 ,166907 ,TV     ,         ,2024-04-05T00:00:00+00:00 ,Fridays    ,8bit                                 ,https://www.ten-sura.com/                                 ,ten_sura_anime
54789 ,Boku no Hero Academia 7th Season                                                                                      ,My Hero Academia Season 7                                                                ,僕のヒーローアカデミア                                                         ,Manga        , 140809 ,140809 ,TV     ,         ,2024-05-04T00:00:00+00:00 ,Saturdays  ,Bones                                ,https://heroaca.com/                                      ,heroaca_anime
55888 ,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2                                                                    ,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2                                    ,無職転生 II ～異世界行ったら本気だす～                                         ,Light novel  , 139341 ,139341 ,TV     ,    12.0 ,2024-04-08T00:00:00+00:00 ,Mondays    ,Studio Bind                          ,https://mushokutensei.jp/                                 ,mushokutensei_A
48418 ,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II Part 2" ,The Misfit of Demon King Academy II Part 2                                               ,魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～ II   ,Light novel  ,  93988 , 93988 ,TV     ,         ,2024-04-13T00:00:00+00:00 ,Saturdays  ,SILVER LINK.                         ,https://maohgakuin.com/                                   ,maohgakuin
52588 ,Kaijuu 8-gou                                                                                                          ,Kaiju No. 8                                                                              ,怪獣8号                                                                        ,Manga        ,  77645 , 77645 ,TV     ,         ,2024-04-13T00:00:00+00:00 ,Saturdays  ,Production I.G                       ,https://kaiju-no8.net/                                    ,KaijuNo8_O
52196 ,Date A Live V                                                                                                         ,Date A Live V                                                                            ,デート・ア・ライブV                                                            ,Light novel  ,  58162 , 58162 ,TV     ,    12.0 ,2024-04-01T00:00:00+00:00 ,           ,Geek Toys                            ,https://date-a-live5th-anime.com/                         ,date_a_info
50713 ,Mahouka Koukou no Rettousei 3rd Season                                                                                ,The Irregular at Magic High School Season 3                                              ,魔法科高校の劣等生 第3シーズン                                                 ,Light novel  ,  43930 , 43930 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,8bit                                 ,https://mahouka.jp/                                       ,mahouka_anime
51122 ,Ookami to Koushinryou: Merchant Meets the Wise Wolf                                                                   ,Spice and Wolf: Merchant Meets the Wise Wolf                                             ,狼と香辛料                                                                     ,Light novel  ,  42550 , 42550 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Passione                             ,https://spice-and-wolf.com/                               ,Spicy_Wolf_Prj
