id,title,title_en,title_jp,source,members,score,format,episodes,season,year,starting_at,airing_day,studio,official_site,twitter_username
21,One Piece,One Piece,ONE PIECE,Manga,2342119,8.72,TV,,fall,1999.0,1999-10-20T00:00:00+00:00,Sundays,Toei Animation,http://www.toei-anim.co.jp/tv/onep/,OnePieceAnime
235,Meitantei Conan,Case Closed,名探偵コナン,Manga,347728,8.17,TV,,winter,1996.0,1996-01-08T00:00:00+00:00,Saturdays,TMS Entertainment,http://www.ytv.co.jp/conan/,
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,この素晴らしい世界に祝福を！3,Light novel,290543,,TV,11.0,spring,2024.0,2024-04-10T00:00:00+00:00,Wednesdays,Drive,http://konosuba.com/,konosubaanime
55701,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,鬼滅の刃 柱稽古編,Manga,246652,,TV,,spring,2024.0,2024-05-12T00:00:00+00:00,Sundays,ufotable,https://kimetsu.com/anime/hashirageikohen/,kimetsu_off
53580,Tensei shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,転生したらスライムだった件 第3期,Manga,224793,8.44,TV,24.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,8bit,https://www.ten-sura.com/anime/tensura,ten_sura_anime
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,無職転生 II ～異世界行ったら本気だす～ (第2クール),Light novel,213186,8.41,TV,12.0,spring,2024.0,2024-04-08T00:00:00+00:00,Mondays,Studio Bind,https://mushokutensei.jp/,mushokutensei_A
52701,Dungeon Meshi,Delicious in Dungeon,ダンジョン飯,Manga,202814,8.01,TV,24.0,winter,2024.0,2024-01-04T00:00:00+00:00,Thursdays,Trigger,https://delicious-in-dungeon.com/,dun_meshi_anime
49889,Tsuki ga Michibiku Isekai Douchuu 2nd Season,Tsukimichi: Moonlit Fantasy Season 2,月が導く異世界道中 第二幕,Light novel,190636,7.77,TV,25.0,winter,2024.0,2024-01-08T00:00:00+00:00,Mondays,J.C.Staff,https://tsukimichi.com/,tsukimichi_PR
54789,Boku no Hero Academia 7th Season,My Hero Academia Season 7,僕のヒーローアカデミア 第7期,Manga,178466,,TV,,spring,2024.0,2024-05-04T00:00:00+00:00,Saturdays,Bones,https://heroaca.com/,heroaca_anime
52588,Kaijuu 8-gou,Kaiju No. 8,怪獣8号,Manga,122569,,TV,,spring,2024.0,2024-04-13T00:00:00+00:00,Saturdays,Production I.G,https://kaiju-no8.net/,KaijuNo8_O
48418,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",The Misfit of Demon King Academy II Part 2,魔王学院の不適合者 II ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～ 第2クール,Light novel,116651,,TV,,spring,2024.0,2024-04-12T00:00:00+00:00,Fridays,SILVER LINK.,https://maohgakuin.com/,maohgakuin
56285,Ninja Kamui,,,Original,115763,8.01,TV,12.0,winter,2024.0,2024-02-11T00:00:00+00:00,Sundays,E&H Production,,
51122,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Spice and Wolf: Merchant Meets the Wise Wolf,狼と香辛料 MERCHANT MEETS THE WISE WOLF,Light novel,111598,8.27,TV,25.0,spring,2024.0,2024-04-02T00:00:00+00:00,Tuesdays,Passione,https://spice-and-wolf.com/,Spicy_Wolf_Prj
52742,Haikyuu!! Movie: Gomisuteba no Kessen,Haikyu!! Movie: Battle of the Garbage Dump,劇場版ハイキュー!! ゴミ捨て場の決戦,Manga,99174,8.25,Movie,2.0,,,2024-02-16T00:00:00+00:00,,Production I.G,https://haikyu.jp/movie/,animehaikyu_com
54900,Wind Breaker,,WIND BREAKER,Web manga,85206,7.94,TV,13.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,CloverWorks,https://wb-anime.net/,winbre_sakura
966,Crayon Shin-chan,Shin Chan,クレヨンしんちゃん,Manga,83616,7.79,TV,,spring,1992.0,1992-04-13T00:00:00+00:00,Fridays,Shin-Ei Animation,http://www.tv-asahi.co.jp/shinchan/,
50713,Mahouka Koukou no Rettousei 3rd Season,The Irregular at Magic High School Season 3,魔法科高校の劣等生 第3シーズン,Light novel,76694,7.73,TV,,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,8bit,https://mahouka.jp/3rd/,mahouka_anime
